                                 Instance                                 |                                   baronBM@0                                   |                                  baronBMc@0                                   |                                   baronHR@0                                   |                                  baronHRc@0                                   |                                   cplexBM@0                                   |                                  cplexHRc@0                                   |                                  knitroBM@0                                   |                                  knitroBMc@0                                  |                                  knitroHR@0                                   |                                  knitroHRc@0                                  |                                  mosekBM.2@0                                  |                                   mosekBM@0                                   |                                 mosekBMc.2@0                                  |                                  mosekBMc@0                                   |                                 mosekHRc.2@0                                  |                                  mosekHRc@0                                   |                                 sbbknitroBM@0                                 |                                sbbknitroBMc@0                                 |                                 sbbknitroHR@0                                 |                                sbbknitroHRc@0                                 |                                 sbbmosekBM@0                                  |                                 sbbmosekBMc@0                                 |                                 sbbmosekHR@0                                  |                                 sbbmosekHRc@0                                 |
kClus_3_10_2_5            47    30    46 min  3.199126e-01  3.199126e-01  |normal      3.199505e-01   -0.01  3.199537e-01    0.01   0.00    4.25     191  |--                    --     inf            --     inf     --      --      -- !|normal      3.199417e-01   -0.01  3.199449e-01    0.01   0.00   24.72     430  |normal      3.199505e-01   -0.01  3.199537e-01    0.01   0.00   34.24     584  |normal      3.199536e-01   -0.01  3.199536e-01    0.01   0.00    0.39     806  |normal      3.199537e-01   -0.01  3.199537e-01    0.01   0.00    1.35     776  |normal      3.194617e-01    0.14  3.199537e-01    0.01   0.15    1.62     629  |--                    --     inf            --     inf     --      --      -- !|normal      3.189734e-01    0.29  3.199537e-01    0.01   0.31    7.20     885  |normal      3.190652e-01    0.27  3.199537e-01    0.01   0.28   65.07     769  |normal      3.199126e-01   -0.00  3.199126e-01    0.00   0.00   15.01    1455  |normal      3.199537e-01   -0.01  3.199537e-01    0.01   0.00    2.57     893  |normal      3.199126e-01   -0.00  3.199126e-01    0.00   0.00   15.01    1455  |normal      3.199537e-01   -0.01  3.199537e-01    0.01   0.00    2.57     893  |normal      3.199236e-01   -0.00  3.199236e-01    0.00   0.00    8.24     939  |normal      3.199537e-01   -0.01  3.199537e-01    0.01   0.00    2.12     451  |normal      3.199537e-01   -0.01  3.199537e-01    0.01   0.00   43.76    1027  |normal      3.199537e-01   -0.01  3.199537e-01    0.01   0.00   43.76    1027  |normal      3.199537e-01   -0.01  3.199537e-01    0.01   0.00   42.98    1314  |normal      3.491087e-01   -9.13  3.491087e-01    9.13   0.00  109.00    1443  |normal      3.199537e-01   -0.01  3.199537e-01    0.01   0.00    8.50     830  |normal      3.199537e-01   -0.01  3.199537e-01    0.01   0.00    8.50     830  |--                    --     inf            --     inf     --      --      -- !|normal      3.199537e-01   -0.01  3.199537e-01    0.01   0.00   22.59    1038  |
kClus_3_10_2_6            47    30    46 min  5.554300e-01  5.554300e-01  |normal      5.554512e-01   -0.00  5.554567e-01    0.00   0.00    2.60      87  |--                    --     inf            --     inf     --      --      -- !|normal      5.554467e-01   -0.00  5.554522e-01    0.00   0.00   14.68     153  |normal      5.554512e-01   -0.00  5.554567e-01    0.00   0.00   20.35     225  |normal      5.554567e-01   -0.00  5.554567e-01    0.00   0.00    0.35     773  |normal      5.554567e-01   -0.00  5.554567e-01    0.00   0.00    1.38    1032  |normal      5.545513e-01    0.16  5.554567e-01    0.00   0.16    2.32     901  |--                    --     inf            --     inf     --      --      -- !|normal      5.554567e-01   -0.00  5.554567e-01    0.00   0.00    7.76     991  |normal      5.554567e-01   -0.00  5.554567e-01    0.00   0.00   64.59     889  |normal      5.554302e-01   -0.00  5.554302e-01    0.00   0.00   16.44    2005  |normal      5.554567e-01   -0.00  5.554567e-01    0.00   0.00    2.64     895  |normal      5.554302e-01   -0.00  5.554302e-01    0.00   0.00   16.44    2005  |normal      5.554567e-01   -0.00  5.554567e-01    0.00   0.00    2.64     895  |normal      5.554300e-01    0.00  5.554300e-01   -0.00   0.00    6.29     957  |normal      5.554567e-01   -0.00  5.554567e-01    0.00   0.00    3.63     725  |normal      5.554567e-01   -0.00  5.554567e-01    0.00   0.00   49.73    1157  |normal      5.554567e-01   -0.00  5.554567e-01    0.00   0.00   49.73    1157  |normal      5.554518e-01   -0.00  5.554562e-01    0.00   0.00   63.52    1993  |normal      5.554535e-01   -0.00  5.554566e-01    0.00   0.00   83.81    1086  |normal      5.554567e-01   -0.00  5.554567e-01    0.00   0.00   20.88    1559  |normal      5.554567e-01   -0.00  5.554567e-01    0.00   0.00   20.88    1559  |--                    --     inf            --     inf     --      --      -- !|normal      5.554567e-01   -0.00  5.554567e-01    0.00   0.00   25.66    1262  |
kClus_3_10_2_7            47    30    46 min  4.985749e-01  4.985749e-01  |normal      4.985896e-01   -0.00  4.985946e-01    0.00   0.00    6.24     365  |--                    --     inf            --     inf     --      --      -- !|normal      4.985881e-01   -0.00  4.985930e-01    0.00   0.00   39.82     653  |normal      4.985896e-01   -0.00  4.985946e-01    0.00   0.00   28.42     471  |normal      4.985946e-01   -0.00  4.985946e-01    0.00   0.00    0.47    1038  |normal      4.985946e-01   -0.00  4.985946e-01    0.00   0.00    1.42    1290  |normal      4.982935e-01    0.06  4.985946e-01    0.00   0.06    1.61     627  |--                    --     inf            --     inf     --      --      -- !|normal      4.985946e-01   -0.00  4.985946e-01    0.00   0.00    6.45     919  |normal      4.979971e-01    0.12  4.985946e-01    0.00   0.12   60.35     781  |normal      4.985783e-01   -0.00  4.985783e-01    0.00   0.00   33.04    2829  |normal      4.985946e-01   -0.00  4.985946e-01    0.00   0.00    3.29    1179  |normal      4.985783e-01   -0.00  4.985783e-01    0.00   0.00   33.04    2829  |normal      4.985946e-01   -0.00  4.985946e-01    0.00   0.00    3.29    1179  |normal      4.985749e-01    0.00  4.985749e-01   -0.00   0.00   12.69    1695  |normal      4.985946e-01   -0.00  4.985946e-01    0.00   0.00    3.21     771  |normal      4.985946e-01   -0.00  4.985946e-01    0.00   0.00   61.67    1471  |normal      4.985946e-01   -0.00  4.985946e-01    0.00   0.00   61.67    1471  |normal      4.985946e-01   -0.00  4.985946e-01    0.00   0.00   82.42    2568  |normal      4.985946e-01   -0.00  4.985946e-01    0.00   0.00  138.11    1869  |normal      4.985946e-01   -0.00  4.985946e-01    0.00   0.00   21.25    1687  |normal      4.985946e-01   -0.00  4.985946e-01    0.00   0.00   21.25    1687  |--                    --     inf            --     inf     --      --      -- !|normal      4.985946e-01   -0.00  4.985946e-01    0.00   0.00   48.39    2382  |
kClus_3_10_2_8            47    30    46 min  3.172038e-01  3.172038e-01  |normal      3.172255e-01   -0.01  3.172286e-01    0.01   0.00    6.90     359  |--                    --     inf            --     inf     --      --      -- !|normal      3.172182e-01   -0.00  3.172214e-01    0.01   0.00   44.04     922  |normal      3.172255e-01   -0.01  3.172286e-01    0.01   0.00   58.94    1505  |normal      3.172286e-01   -0.01  3.172286e-01    0.01   0.00    0.49     959  |normal      3.172287e-01   -0.01  3.172287e-01    0.01   0.00    1.35     922  |normal      3.172286e-01   -0.01  3.172286e-01    0.01   0.00    2.33    1051  |--                    --     inf            --     inf     --      --      -- !|normal      3.172286e-01   -0.01  3.172286e-01    0.01   0.00    5.26     693  |normal      3.169055e-01    0.09  3.172286e-01    0.01   0.10   70.62    1181  |normal      3.172115e-01   -0.00  3.172115e-01    0.00   0.00   17.40    1937  |normal      3.172286e-01   -0.01  3.172286e-01    0.01   0.00    2.16     779  |normal      3.172115e-01   -0.00  3.172115e-01    0.00   0.00   17.40    1937  |normal      3.172286e-01   -0.01  3.172286e-01    0.01   0.00    2.16     779  |normal      3.172038e-01   -0.00  3.172038e-01    0.00   0.00    9.72    1871  |normal      3.172286e-01   -0.01  3.172286e-01    0.01   0.00    2.47     553  |normal      3.172286e-01   -0.01  3.172286e-01    0.01   0.00   34.42     811  |normal      3.172286e-01   -0.01  3.172286e-01    0.01   0.00   34.42     811  |normal      3.172286e-01   -0.01  3.172286e-01    0.01   0.00   63.68    1985  |normal      3.172282e-01   -0.01  3.172282e-01    0.01   0.00  149.21    1994  |normal      3.172286e-01   -0.01  3.172286e-01    0.01   0.00   13.60     936  |normal      3.172286e-01   -0.01  3.172286e-01    0.01   0.00   13.60     936  |--                    --     inf            --     inf     --      --      -- !|normal      3.172286e-01   -0.01  3.172286e-01    0.01   0.00   30.87    1483  |
kClus_3_10_2_9            47    30    46 min  1.952160e-01  1.952160e-01  |normal      1.952344e-01   -0.01  1.952363e-01    0.01   0.00    2.92     159  |--                    --     inf            --     inf     --      --      -- !|normal      1.952329e-01   -0.01  1.952348e-01    0.01   0.00   14.42     159  |normal      1.952344e-01   -0.01  1.952363e-01    0.01   0.00   17.29     141  |normal      1.952363e-01   -0.01  1.952363e-01    0.01   0.00    0.40     734  |normal      1.952364e-01   -0.01  1.952364e-01    0.01   0.00    0.65     429  |normal      1.952363e-01   -0.01  1.952363e-01    0.01   0.00    0.64     251  |--                    --     inf            --     inf     --      --      -- !|normal      1.952363e-01   -0.01  1.952363e-01    0.01   0.00    2.06     245  |normal      1.952363e-01   -0.01  1.952363e-01    0.01   0.00   56.32     327  |normal      1.952211e-01   -0.00  1.952211e-01    0.00   0.00    9.15    1211  |normal      1.952363e-01   -0.01  1.952363e-01    0.01   0.00    1.82     651  |normal      1.952211e-01   -0.00  1.952211e-01    0.00   0.00    9.15    1211  |normal      1.952363e-01   -0.01  1.952363e-01    0.01   0.00    1.82     651  |normal      1.952160e-01    0.00  1.952160e-01   -0.00   0.00    4.38     687  |normal      1.952363e-01   -0.01  1.952363e-01    0.01   0.00    1.42     323  |normal      1.952363e-01   -0.01  1.952363e-01    0.01   0.00   12.80     321  |normal      1.952363e-01   -0.01  1.952363e-01    0.01   0.00   12.80     321  |normal      1.952362e-01   -0.01  1.952363e-01    0.01   0.00   34.04    1039  |normal      1.952363e-01   -0.01  1.952363e-01    0.01   0.00   47.60     448  |normal      1.952363e-01   -0.01  1.952363e-01    0.01   0.00    7.46     464  |normal      1.952363e-01   -0.01  1.952363e-01    0.01   0.00    7.46     464  |--                    --     inf            --     inf     --      --      -- !|normal      1.952363e-01   -0.01  1.952363e-01    0.01   0.00    8.44     347  |
kClus_3_10_3_1            50    30    46 min  9.836393e-01  9.836393e-01  |normal      9.836694e-01   -0.00  9.836793e-01    0.00   0.00    5.97     209  |--                    --     inf            --     inf     --      --      -- !|normal      9.836572e-01   -0.00  9.836671e-01    0.00   0.00   46.80     361  |normal      9.836694e-01   -0.00  9.836793e-01    0.00   0.00   58.68     423  |normal      9.836793e-01   -0.00  9.836793e-01    0.00   0.00    1.05    2261  |normal      9.836793e-01   -0.00  9.836793e-01    0.00   0.00    7.66    1431  |normal      9.827700e-01    0.09  9.836793e-01    0.00   0.09    4.51    1657  |--                    --     inf            --     inf     --      --      -- !|normal      9.829543e-01    0.07  9.836793e-01    0.00   0.07   22.68    2531  |normal      9.831385e-01    0.05  9.836793e-01    0.00   0.06   40.06    1365  |normal      9.836393e-01    0.00  9.836393e-01   -0.00   0.00   89.86    3119  |normal      9.836793e-01   -0.00  9.836793e-01    0.00   0.00    5.25    1609  |normal      9.836393e-01    0.00  9.836393e-01   -0.00   0.00   89.86    3119  |normal      9.836793e-01   -0.00  9.836793e-01    0.00   0.00    5.25    1609  |normal      9.836394e-01   -0.00  9.836394e-01    0.00   0.00   38.48    2519  |normal      9.836793e-01   -0.00  9.836793e-01    0.00   0.00    6.43    1165  |normal      9.836793e-01   -0.00  9.836793e-01    0.00   0.00  103.78    2233  |normal      9.836793e-01   -0.00  9.836793e-01    0.00   0.00  103.78    2233  |normal      9.836783e-01   -0.00  9.836783e-01    0.00   0.00  158.14    4383  |normal      9.836793e-01   -0.00  9.836793e-01    0.00   0.00  246.13    2463  |normal      9.836793e-01   -0.00  9.836793e-01    0.00   0.00   76.20    3230  |normal      9.836793e-01   -0.00  9.836793e-01    0.00   0.00   76.20    3230  |--                    --     inf            --     inf     --      --      -- !|normal      9.836793e-01   -0.00  9.836793e-01    0.00   0.00   63.98    2662  |
kClus_3_10_3_10           50    30    46 min  8.255536e-01  8.255536e-01  |normal      8.255845e-01   -0.00  8.255927e-01    0.00   0.00   20.35     917  |--                    --     inf            --     inf     --      --      -- !|normal      8.255738e-01   -0.00  8.255821e-01    0.00   0.00  124.54    1325  |normal      8.255845e-01   -0.00  8.255927e-01    0.00   0.00  154.73    1897  |normal      8.255927e-01   -0.00  8.255927e-01    0.00   0.00    1.26    3787  |normal      8.255927e-01   -0.00  8.255927e-01    0.00   0.00    9.56    2095  |normal      8.251982e-01    0.04  8.255927e-01    0.00   0.05    8.05    3493  |--                    --     inf            --     inf     --      --      -- !|normal      8.255927e-01   -0.00  8.255927e-01    0.00   0.00   17.88    1987  |normal      8.250329e-01    0.06  8.255927e-01    0.00   0.07   97.22    3445  |normal      8.255536e-01    0.00  8.255536e-01   -0.00   0.00  124.90    4645  |normal      8.255927e-01   -0.00  8.255927e-01    0.00   0.00    7.71    2327  |normal      8.255536e-01    0.00  8.255536e-01   -0.00   0.00  124.90    4645  |normal      8.255927e-01   -0.00  8.255927e-01    0.00   0.00    7.71    2327  |normal      8.255538e-01   -0.00  8.255538e-01    0.00   0.00   52.48    3143  |normal      8.255927e-01   -0.00  8.255927e-01    0.00   0.00    9.44    1811  |normal      8.255927e-01   -0.00  8.255927e-01    0.00   0.00  178.81    3995  |normal      8.255927e-01   -0.00  8.255927e-01    0.00   0.00  178.81    3995  |normal      8.255927e-01   -0.00  8.255927e-01    0.00   0.00  173.76    4855  |normal      8.255927e-01   -0.00  8.255927e-01    0.00   0.00  373.83    3930  |normal      8.255927e-01   -0.00  8.255927e-01    0.00   0.00   85.68    3568  |normal      8.255927e-01   -0.00  8.255927e-01    0.00   0.00   85.68    3568  |--                    --     inf            --     inf     --      --      -- !|normal      8.255927e-01   -0.00  8.255927e-01    0.00   0.00   82.44    3404  |
kClus_3_10_3_2            50    30    46 min  4.952836e-01  4.952836e-01  |normal      4.953195e-01   -0.01  4.953244e-01    0.01   0.00    5.18     193  |--                    --     inf            --     inf     --      --      -- !|normal      4.953130e-01   -0.01  4.953179e-01    0.01   0.00   48.55     410  |normal      4.953195e-01   -0.01  4.953244e-01    0.01   0.00   53.34     690  |normal      4.953244e-01   -0.01  4.953244e-01    0.01   0.00    0.62    1311  |normal      4.953244e-01   -0.01  4.953244e-01    0.01   0.00    4.89    1214  |normal      4.949877e-01    0.06  4.953244e-01    0.01   0.07    1.99     727  |--                    --     inf            --     inf     --      --      -- !|normal      4.953244e-01   -0.01  4.953244e-01    0.01   0.00    7.44     687  |normal      4.945803e-01    0.14  4.953244e-01    0.01   0.15   32.17     953  |normal      4.952836e-01    0.00  4.952836e-01   -0.00   0.00   38.55    2807  |normal      4.953244e-01   -0.01  4.953244e-01    0.01   0.00    3.30    1009  |normal      4.952836e-01    0.00  4.952836e-01   -0.00   0.00   38.55    2807  |normal      4.953244e-01   -0.01  4.953244e-01    0.01   0.00    3.30    1009  |normal      4.952925e-01   -0.00  4.952925e-01    0.00   0.00   18.80    1749  |normal      4.953244e-01   -0.01  4.953244e-01    0.01   0.00    4.52     817  |normal      4.953244e-01   -0.01  4.953244e-01    0.01   0.00   59.14    1302  |normal      4.953244e-01   -0.01  4.953244e-01    0.01   0.00   59.14    1302  |normal      4.953244e-01   -0.01  4.953244e-01    0.01   0.00   77.45    1734  |normal      4.953244e-01   -0.01  4.953244e-01    0.01   0.00  140.29    1219  |normal      4.953244e-01   -0.01  4.953244e-01    0.01   0.00   21.89    1021  |normal      4.953244e-01   -0.01  4.953244e-01    0.01   0.00   21.89    1021  |--                    --     inf            --     inf     --      --      -- !|normal      4.953244e-01   -0.01  4.953244e-01    0.01   0.00   36.91    1484  |
kClus_3_10_3_3            50    30    46 min  4.960740e-01  4.960740e-01  |normal      4.961112e-01   -0.01  4.961161e-01    0.01   0.00    1.70      63  |--                    --     inf            --     inf     --      --      -- !|normal      4.961042e-01   -0.01  4.961091e-01    0.01   0.00   27.32     123  |normal      4.961112e-01   -0.01  4.961161e-01    0.01   0.00   29.69     203  |normal      4.961160e-01   -0.01  4.961160e-01    0.01   0.00    0.51    1080  |normal      4.961161e-01   -0.01  4.961161e-01    0.01   0.00    3.56     621  |normal      4.960272e-01    0.01  4.961161e-01    0.01   0.02    1.50     567  |--                    --     inf            --     inf     --      --      -- !|normal      4.961161e-01   -0.01  4.961161e-01    0.01   0.00    6.27     629  |normal      4.956393e-01    0.09  4.961161e-01    0.01   0.10   63.93     827  |normal      4.960765e-01   -0.00  4.960765e-01    0.00   0.00   30.39    1784  |normal      4.961161e-01   -0.01  4.961161e-01    0.01   0.00    2.00     573  |normal      4.960765e-01   -0.00  4.960765e-01    0.00   0.00   30.39    1784  |normal      4.961161e-01   -0.01  4.961161e-01    0.01   0.00    2.00     573  |normal      4.960740e-01    0.00  4.960740e-01    0.00   0.00   17.52    1377  |normal      4.961161e-01   -0.01  4.961161e-01    0.01   0.00    2.67     451  |normal      4.961158e-01   -0.01  4.961158e-01    0.01   0.00   31.54     738  |normal      4.961158e-01   -0.01  4.961158e-01    0.01   0.00   31.54     738  |normal      4.961161e-01   -0.01  4.961161e-01    0.01   0.00   81.64    2141  |normal      4.961161e-01   -0.01  4.961161e-01    0.01   0.00  116.49    1125  |normal      4.961161e-01   -0.01  4.961161e-01    0.01   0.00   21.13     891  |normal      4.961161e-01   -0.01  4.961161e-01    0.01   0.00   21.13     891  |--                    --     inf            --     inf     --      --      -- !|normal      4.961161e-01   -0.01  4.961161e-01    0.01   0.00   19.99     811  |
kClus_3_10_3_4            50    30    46 min  9.036182e-01  9.036182e-01  |normal      9.036436e-01   -0.00  9.036527e-01    0.00   0.00    9.97     331  |--                    --     inf            --     inf     --      --      -- !|normal      9.036388e-01   -0.00  9.036478e-01    0.00   0.00   60.97     703  |normal      9.036436e-01   -0.00  9.036527e-01    0.00   0.00   88.01    1422  |normal      9.036527e-01   -0.00  9.036527e-01    0.00   0.00    0.74    1907  |normal      9.036527e-01   -0.00  9.036527e-01    0.00   0.00    7.33    1616  |normal      9.031702e-01    0.05  9.036527e-01    0.00   0.05    3.94    1543  |--                    --     inf            --     inf     --      --      -- !|normal      9.030065e-01    0.07  9.036527e-01    0.00   0.07   16.18    1847  |normal      9.035119e-01    0.01  9.036527e-01    0.00   0.02   35.04    1553  |normal      9.036291e-01   -0.00  9.036291e-01    0.00   0.00  103.86    4835  |normal      9.036527e-01   -0.00  9.036527e-01    0.00   0.00    5.19    1555  |normal      9.036291e-01   -0.00  9.036291e-01    0.00   0.00  103.86    4835  |normal      9.036527e-01   -0.00  9.036527e-01    0.00   0.00    5.19    1555  |normal      9.036182e-01    0.00  9.036182e-01   -0.00   0.00   36.62    3117  |normal      9.036527e-01   -0.00  9.036527e-01    0.00   0.00    5.93    1131  |normal      9.036527e-01   -0.00  9.036527e-01    0.00   0.00  132.43    3058  |normal      9.036527e-01   -0.00  9.036527e-01    0.00   0.00  132.43    3058  |normal      9.036527e-01   -0.00  9.036527e-01    0.00   0.00  203.40    5942  |normal      9.036527e-01   -0.00  9.036527e-01    0.00   0.00  275.82    3474  |normal      9.036527e-01   -0.00  9.036527e-01    0.00   0.00   60.71    2408  |normal      9.036527e-01   -0.00  9.036527e-01    0.00   0.00   60.71    2408  |--                    --     inf            --     inf     --      --      -- !|normal      9.036527e-01   -0.00  9.036527e-01    0.00   0.00   79.27    3363  |
kClus_3_10_3_5            50    30    46 min  8.241570e-01  8.241570e-01  |normal      8.241930e-01   -0.00  8.242013e-01    0.01   0.00    4.53     177  |--                    --     inf            --     inf     --      --      -- !|normal      8.241741e-01   -0.00  8.241824e-01    0.00   0.00   50.43     437  |normal      8.241930e-01   -0.00  8.242013e-01    0.01   0.00   77.65     878  |normal      8.242013e-01   -0.01  8.242013e-01    0.01   0.00    0.81    1279  |normal      8.242012e-01   -0.01  8.242012e-01    0.01   0.00    6.48    1299  |normal      8.242013e-01   -0.01  8.242013e-01    0.01   0.00    3.16    1257  |--                    --     inf            --     inf     --      --      -- !|normal      8.236846e-01    0.06  8.242013e-01    0.01   0.06    9.68    1001  |normal      8.234991e-01    0.08  8.242013e-01    0.01   0.09   74.44     993  |normal      8.241678e-01   -0.00  8.241678e-01    0.00   0.00   61.72    2275  |normal      8.242013e-01   -0.01  8.242013e-01    0.01   0.00    4.67    1421  |normal      8.241678e-01   -0.00  8.241678e-01    0.00   0.00   61.72    2275  |normal      8.242013e-01   -0.01  8.242013e-01    0.01   0.00    4.67    1421  |normal      8.241570e-01   -0.00  8.241570e-01    0.00   0.00   21.40    1569  |normal      8.242013e-01   -0.01  8.242013e-01    0.01   0.00    4.92     909  |normal      8.242013e-01   -0.01  8.242013e-01    0.01   0.00   86.31    1953  |normal      8.242013e-01   -0.01  8.242013e-01    0.01   0.00   86.31    1953  |normal      8.242012e-01   -0.01  8.242012e-01    0.01   0.00  140.57    3444  |normal      8.242008e-01   -0.01  8.242008e-01    0.01   0.00  179.88    2151  |normal      8.242013e-01   -0.01  8.242013e-01    0.01   0.00   53.68    2059  |normal      8.242013e-01   -0.01  8.242013e-01    0.01   0.00   53.68    2059  |--                    --     inf            --     inf     --      --      -- !|normal      8.242013e-01   -0.01  8.242013e-01    0.01   0.00   36.87    1495  |
kClus_3_10_3_6            50    30    46 min  9.116513e-01  9.116513e-01  |normal      9.117069e-01   -0.01  9.117160e-01    0.01   0.00    4.62     171  |--                    --     inf            --     inf     --      --      -- !|normal      9.116850e-01   -0.00  9.116942e-01    0.00   0.00   45.30     497  |normal      9.117069e-01   -0.01  9.117160e-01    0.01   0.00   42.86     285  |normal      9.117160e-01   -0.01  9.117160e-01    0.01   0.00    0.51    1180  |normal      9.117160e-01   -0.01  9.117160e-01    0.01   0.00    9.36    1452  |normal      9.117160e-01   -0.01  9.117160e-01    0.01   0.00    2.93    1069  |--                    --     inf            --     inf     --      --      -- !|normal      9.112337e-01    0.05  9.117160e-01    0.01   0.05   10.34    1047  |normal      9.117160e-01   -0.01  9.117160e-01    0.01   0.00   76.65    1003  |normal      9.116513e-01    0.00  9.116513e-01   -0.00   0.00   62.84    2885  |normal      9.117160e-01   -0.01  9.117160e-01    0.01   0.00    5.20    1617  |normal      9.116513e-01    0.00  9.116513e-01   -0.00   0.00   62.84    2885  |normal      9.117160e-01   -0.01  9.117160e-01    0.01   0.00    5.20    1617  |normal      9.116679e-01   -0.00  9.116679e-01    0.00   0.00   17.97    1565  |normal      9.117160e-01   -0.01  9.117160e-01    0.01   0.00    6.23    1073  |normal      9.117160e-01   -0.01  9.117160e-01    0.01   0.00   74.03    1557  |normal      9.117160e-01   -0.01  9.117160e-01    0.01   0.00   74.03    1557  |normal      9.117160e-01   -0.01  9.117160e-01    0.01   0.00  105.84    2947  |normal      9.117160e-01   -0.01  9.117160e-01    0.01   0.00  215.21    2163  |normal      9.117160e-01   -0.01  9.117160e-01    0.01   0.00   69.99    2627  |normal      9.117160e-01   -0.01  9.117160e-01    0.01   0.00   69.99    2627  |--                    --     inf            --     inf     --      --      -- !|normal      9.117160e-01   -0.01  9.117160e-01    0.01   0.00   51.92    2076  |
kClus_3_10_3_7            50    30    46 min  5.848053e-01  5.848053e-01  |normal      5.848338e-01   -0.00  5.848397e-01    0.01   0.00    3.37     145  |--                    --     inf            --     inf     --      --      -- !|normal      5.848155e-01   -0.00  5.848214e-01    0.00   0.00   29.96     331  |normal      5.848338e-01   -0.00  5.848397e-01    0.01   0.00   55.83     633  |normal      5.848396e-01   -0.01  5.848396e-01    0.01   0.00    0.58    1119  |normal      5.848397e-01   -0.01  5.848397e-01    0.01   0.00    4.20     939  |normal      5.846175e-01    0.03  5.848397e-01    0.01   0.04    2.27     863  |--                    --     inf            --     inf     --      --      -- !|normal      5.838720e-01    0.16  5.848397e-01    0.01   0.17   14.60    1581  |normal      5.848397e-01   -0.01  5.848397e-01    0.01   0.00   79.70    1389  |normal      5.848103e-01   -0.00  5.848103e-01    0.00   0.00  105.21    2745  |normal      5.848397e-01   -0.01  5.848397e-01    0.01   0.00    3.41    1103  |normal      5.848103e-01   -0.00  5.848103e-01    0.00   0.00  105.21    2745  |normal      5.848397e-01   -0.01  5.848397e-01    0.01   0.00    3.41    1103  |normal      5.848053e-01    0.00  5.848053e-01   -0.00   0.00   39.53    2059  |normal      5.848397e-01   -0.01  5.848397e-01    0.01   0.00    5.06     945  |normal      5.848397e-01   -0.01  5.848397e-01    0.01   0.00   60.42    1366  |normal      5.848397e-01   -0.01  5.848397e-01    0.01   0.00   60.42    1366  |normal      5.848397e-01   -0.01  5.848397e-01    0.01   0.00  120.40    3447  |normal      5.848397e-01   -0.01  5.848397e-01    0.01   0.00  218.79    2638  |normal      5.848397e-01   -0.01  5.848397e-01    0.01   0.00   33.51    1256  |normal      5.848397e-01   -0.01  5.848397e-01    0.01   0.00   33.51    1256  |--                    --     inf            --     inf     --      --      -- !|normal      5.848397e-01   -0.01  5.848397e-01    0.01   0.00   49.02    2037  |
kClus_3_10_3_8            50    30    46 min  7.104382e-01  7.104382e-01  |normal      7.104682e-01   -0.00  7.104753e-01    0.01   0.00   14.07     503  |--                    --     inf            --     inf     --      --      -- !|normal      7.104475e-01   -0.00  7.104546e-01    0.00   0.00   88.83    1636  |normal      7.104682e-01   -0.00  7.104753e-01    0.01   0.00  183.66    3203  |normal      7.104753e-01   -0.01  7.104753e-01    0.01   0.00    0.93    2488  |normal      7.104753e-01   -0.01  7.104753e-01    0.01   0.00    8.10    1910  |normal      7.096784e-01    0.11  7.104753e-01    0.01   0.11    4.95    1879  |--                    --     inf            --     inf     --      --      -- !|normal      7.095729e-01    0.12  7.104753e-01    0.01   0.13   19.89    2251  |normal      7.101131e-01    0.05  7.104753e-01    0.01   0.05  103.23    2571  |normal      7.104382e-01    0.00  7.104382e-01   -0.00   0.00  136.89    4901  |normal      7.104753e-01   -0.01  7.104753e-01    0.01   0.00    5.48    1703  |normal      7.104382e-01    0.00  7.104382e-01   -0.00   0.00  136.89    4901  |normal      7.104753e-01   -0.01  7.104753e-01    0.01   0.00    5.48    1703  |normal      7.104460e-01   -0.00  7.104460e-01    0.00   0.00   41.80    2627  |normal      7.104753e-01   -0.01  7.104753e-01    0.01   0.00    6.99    1379  |normal      7.104753e-01   -0.01  7.104753e-01    0.01   0.00  152.58    3493  |normal      7.104753e-01   -0.01  7.104753e-01    0.01   0.00  152.58    3493  |normal      7.104748e-01   -0.01  7.104748e-01    0.01   0.00  230.69    6284  |normal      7.104749e-01   -0.01  7.104749e-01    0.01   0.00  335.06    3947  |normal      7.104753e-01   -0.01  7.104753e-01    0.01   0.00   91.69    3617  |normal      7.104753e-01   -0.01  7.104753e-01    0.01   0.00   91.69    3617  |--                    --     inf            --     inf     --      --      -- !|normal      7.104753e-01   -0.01  7.104753e-01    0.01   0.00  106.38    4282  |
