                         Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
                        Gap                       1.00001e-05                  inf               150.21  1.00001e-05                  inf      1.90153                    0              210.997              360.126          inf                                             inf            0            0                                               0                                               0  1.00001e-05  -6.7661e-08                    0                    inf                  NaN          NaN          NaN                  NaN                  NaN
                        PrimalGap                 3.47579e-09                  inf              17.0896  3.45901e-09                  inf     0.105456          -5.8793e-06              24.4088              42.1417          inf                                             inf -4.26876e-09  -5.7395e-06                                       0.0047418                                     8.98324e-10 -5.85619e-09  2.69986e-09          6.47645e-08                    inf                  inf          inf          inf                  inf                  inf
                        DualGap                   9.99662e-06              3.51089              7.35899  9.99664e-06              3.70315      1.62473           5.8793e-06              7.34345              7.37069 -3.34565e-09                                      0.00564572  4.26876e-09   5.7395e-06                                      -0.0047418                                    -8.98324e-10   1.0006e-05 -7.03609e-08         -6.47645e-08                    inf                  inf          inf          inf                  inf                  inf
RSyn0840M03             TerminationStatus                   0                    1                    8            0                    1            1                    0                    8                    8            1                                               8            0            0                                               0                                               0            0            0                    0                      6                  NaN          NaN          NaN                  NaN                  NaN
                        PrimalBound                   2742.65              1710.74              1514.26      2742.65              1710.74      2683.05              2742.65              1514.26              1705.76         -inf                                            -inf      2742.65      2742.65                                         2714.21                                         2742.65      2742.65      2742.65              2742.65                   -inf                  NaN          NaN          NaN                  NaN                  NaN
                        DualBound                     2742.67              7426.35              9162.68      2742.67              7473.55       4152.9              2742.65              9204.13              9050.76      2745.47                                         2753.99      2742.65      2742.65                                         2714.21                                         2742.65      2742.67      2742.65              2742.65                    inf                  NaN          NaN          NaN                  NaN                  NaN
                        SolverTime                      22.25              3600.15              2259.64       210.43              3600.14      3600.05              762.704              2519.22              531.607      3600.04                                         1398.34        10.26        1.646                                         204.615                                          62.381      2034.36       72.916              367.844                  0.014                  NaN          NaN          NaN                  NaN                  NaN
                        ETSolver                       22.371              3600.18              2259.66      210.532              3600.18       3600.1              762.763              2519.25              531.639      3600.14                                         1398.36       10.318        1.704                                         204.631                                          62.397      2034.53       72.933               367.86              0.0269996                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfIterations                  0                    0                    0            0                    0      2583965              1061421                    0               219218          NaN                                               0         4286         3382                                               0                                           19785            0            0                    0                      0                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfDomainViolations            0                    0                    0            0                    0          NaN                  NaN                    0                    0            0                                               0          NaN          NaN                                               0                                               0            0            0                    0                      0                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfNodes                      43                25769                 6913          738                21384        97644                65449                 6872                 6870        40607                                          100000          149           41                                             728                                             784          454          323                  759                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        Fail                            False                False                 True        False                False        False                False                 True                 True        False                                            True        False        False                                           False                                           False        False        False                False                   True                 True         True         True                 True                 True
                        FailReason                                                  Termstatus is other                                                                      Termstatus is other  Termstatus is other                                          Termstatus is other                                                                                                                                                                           Termstatus is capabil             No data.     No data.     No data.             No data.             No data.
                        Gap                       1.00001e-05              3.34102              5.05093  1.00001e-05              3.36861      0.54783                    0               5.0783                4.306          inf                                             inf            0            0                                               0                                     2.50945e-06  1.00001e-05 -1.64087e-08          2.51227e-06                    inf                  NaN          NaN          NaN                  NaN                  NaN
                        PrimalGap                 1.27016e-07             0.603195             0.811212  1.27015e-07             0.603195    0.0222125         -1.65829e-06             0.811212             0.607873          inf                                             inf  1.25571e-07 -1.78625e-06                                        0.010476                                     1.13352e-07  1.26868e-07  1.26868e-07          1.38551e-07                    inf                  inf          inf          inf                  inf                  inf
                        DualGap                   9.87308e-06              1.70773              2.34082  9.87308e-06              1.72494     0.514196          1.65829e-06              2.35593              2.30001   0.00103058                                      0.00413682 -1.25571e-07  1.78625e-06                                       -0.010476                                      2.3961e-06  9.87323e-06 -1.43277e-07          2.37372e-06                    inf                  inf          inf          inf                  inf                  inf
RSyn0840M04             TerminationStatus                   0                    1                    8            1                    1            1                    1                    1                    8            1                                               8            0            0                                               0                                               0            1            0                    1                      6                  NaN          NaN          NaN                  NaN                  NaN
                        PrimalBound                    2564.5              1129.75              454.354       2564.5               376.01      2307.19              2559.51              633.327              454.343         -inf                                            -inf       2564.5      2564.51                                         2563.25                                          2564.5       2564.5       2274.3               2564.5                   -inf                  NaN          NaN          NaN                  NaN                  NaN
                        DualBound                     2564.53              10304.6              14606.1      2669.12              10671.4      6907.84              3117.25              14370.6              14635.7      2571.69                                         2575.47       2564.5      2564.51                                         2563.27                                         2564.52      2618.98      2274.31              2565.68                    inf                  NaN          NaN          NaN                  NaN                  NaN
                        SolverTime                      63.98              3600.29              2183.66      3600.57              3600.13      3600.03               3600.3              3617.15              795.838      3600.04                                         2710.11       73.354        3.948                                         1697.85                                         1363.11      3600.03      657.438              3614.27                  0.018                  NaN          NaN          NaN                  NaN                  NaN
                        ETSolver                        64.09              3600.36              2183.68      3600.74              3600.15       3600.1              3600.35              3617.18              795.869      3600.14                                         2710.13       73.421        4.014                                         1697.87                                         1363.13      3600.19      657.461               3614.3              0.0310003                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfIterations                  0                    0                    0            0                    0      1640848              4239969                    0               240327          NaN                                               0        24548         7015                                               0                                          203946            0            0                    0                      0                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfDomainViolations            0                    0                    0            0                    0          NaN                  NaN                    0                    0            0                                               0          NaN          NaN                                               0                                               0            0            0                    0                      0                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfNodes                     131                16402                 7677         6134                14389        41952               225035                 7655                 7454        27908                                          100000          823          153                                            2577                                            7565          413         2339                 7746                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        Fail                            False                False                 True        False                False        False                False                False                 True        False                                            True        False        False                                           False                                           False        False        False                False                   True                 True         True         True                 True                 True
                        FailReason                                                  Termstatus is other                                                                                           Termstatus is other                                          Termstatus is other                                                                                                                                                                           Termstatus is capabil             No data.     No data.     No data.             No data.             No data.
                        Gap                       1.00001e-05              8.12108              31.1469    0.0407972              27.3806      1.99405             0.217908              21.6907              31.2129          inf                                             inf            0            0                                     7.43064e-06                                     9.38294e-06    0.0212447  4.67032e-06          0.000460507                    inf                  NaN          NaN          NaN                  NaN                  NaN
                        PrimalGap                -1.88516e-07              1.26996              4.64428 -1.88518e-07              5.82029     0.111525           0.00194895              3.04925              4.64441          inf                                             inf -2.11915e-07 -4.02483e-06                                     0.000486672                                    -1.88206e-07  -1.8852e-07     0.127597         -1.50869e-07                    inf                  inf          inf          inf                  inf                  inf
                        DualGap                   1.01886e-05              3.01816              4.69549    0.0407974              3.16119      1.69364             0.215539              4.60368              4.70705   0.00280286                                      0.00427924  2.11915e-07  4.02483e-06                                    -0.000479238                                     9.57115e-06    0.0212449    -0.127592          0.000460658                    inf                  inf          inf          inf                  inf                  inf
Syn05M02                TerminationStatus                   0                    0                    0            0                    0            0                    0                    0                    0            3                                               0            0            0                                               0                                               0            0            0                    0                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        PrimalBound                   3032.74              3032.74              3032.74      3032.74              3032.74      3032.74              3032.74              3032.74              3032.74      1619.98                                         3032.74      3032.74      3032.74                                         3032.74                                         3032.74      3032.74      3032.74              3032.74                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        DualBound                     3032.77              3032.74              3032.74      3032.77              3032.74      3032.74              3032.74              3032.74              3032.74      3032.74                                         3032.74      3032.74      3032.74                                         3032.74                                         3032.74      3032.77      3032.74              3032.74                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        SolverTime                       0.08                0.312                1.795         0.13                0.328        0.117                0.133                0.588                0.181      1164.47                                           0.041         0.13        0.117                                           0.205                                           0.056         0.12        0.048                0.158                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        ETSolver                        0.133                0.322                1.805        0.184                 0.34        0.148                0.164                0.598                0.192      1164.57                                       0.0530002         0.16        0.149                                           0.215                                       0.0659999         0.15    0.0600002                0.167                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfIterations                  0                    0                    0            0                    0          202                  159                    0                  316            0                                               0          247           99                                               0                                              57            0            0                    0                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfDomainViolations            0                    0                    0            0                    0          NaN                  NaN                    0                    0            0                                               0          NaN          NaN                                               0                                               0            0            0                    0                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfNodes                       1                   55                   76            1                   47            7                    5                   22                   20      1000000                                               3            3            3                                               2                                               2            1            3                    4                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        Fail                            False                False                False        False                False        False                False                False                False        False                                           False        False        False                                           False                                           False        False        False                False                   True                 True         True         True                 True                 True
                        FailReason                                                                                                                                                                                                                                                                                                                                                                                                                                        No data.             No data.     No data.     No data.             No data.             No data.
                        Gap                       1.00001e-05         -9.56567e-12                    0  1.00001e-05                    0            0                    0                    0                    0     0.872084                                    -3.66877e-10  6.98216e-08            0                                               0                                               0  1.00001e-05 -1.04906e-09                    0                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        PrimalGap                -1.27212e-07         -1.27254e-07         -1.28404e-07 -1.27284e-07         -1.27256e-07 -1.28968e-07         -2.36293e-06         -1.27224e-07         -1.26154e-07     0.872084                                    -1.26187e-07 -1.04852e-07 -1.94095e-06                                    -1.26134e-07                                    -1.27357e-07 -1.73375e-07 -1.27211e-07         -1.23315e-07                    inf                  inf          inf          inf                  inf                  inf
                        DualGap                   1.01273e-05          1.27245e-07          1.28404e-07  1.01274e-05          1.27256e-07  1.28968e-07          2.36293e-06          1.27224e-07          1.26154e-07  1.27215e-07                                      1.2582e-07  1.74674e-07  1.94095e-06                                     1.26134e-07                                     1.27357e-07  1.01735e-05  1.26162e-07          1.23315e-07                    inf                  inf          inf          inf                  inf                  inf
Syn05M03                TerminationStatus                   0                    0                    0            0                    0            0                    0                    0                    0            3                                               0            0            0                                               0                                               0            0            0                    0                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        PrimalBound                   4027.37              4027.37              4027.37      4027.37              4027.37      4027.37              4027.38              4027.37              4027.37         -inf                                         4027.37      4027.37      4027.38                                         4027.37                                         4027.37      4027.37      4027.37              4027.37                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        DualBound                     4027.41              4027.37              4027.37      4027.41              4027.37      4027.37              4027.38              4027.37              4027.37      4027.37                                         4027.37      4027.37      4027.38                                         4027.37                                         4027.37      4027.41      4027.37              4027.37                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        SolverTime                       0.12                0.454                5.609         0.11                0.466        0.155                0.192                1.695                0.493      3047.17                                           0.046        0.103         0.14                                           0.641                                           0.144         0.28        0.063                0.379                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        ETSolver                        0.179                0.465                5.619        0.149                0.477     0.184001                0.224                1.704                0.503      3047.37                                       0.0579998        0.133        0.172                                            0.65                                           0.154        0.336    0.0759998                0.388                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfIterations                  0                    0                    0            0                    0          235                  219                    0                  786          NaN                                               0          153          151                                               0                                              92            0            0                    0                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfDomainViolations            0                    0                    0            0                    0          NaN                  NaN                    0                    0            0                                               0          NaN          NaN                                               0                                               0            0            0                    0                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfNodes                       1                   85                  170            1                   79            9                    5                   68                   60      1000000                                               3            3            3                                               4                                               4            1            3                   10                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        Fail                            False                False                False        False                False        False                False                False                False        False                                           False        False        False                                           False                                           False        False        False                False                   True                 True         True         True                 True                 True
                        FailReason                                                                                                                                                                                                                                                                                                                                                                                                                                        No data.             No data.     No data.     No data.             No data.             No data.
                        Gap                       1.00001e-05                    0                    0  1.00001e-05                    0            0                    0                    0                    0          inf                                    -6.22505e-10            0            0                                               0                                               0  1.00001e-05 -9.93973e-11                    0                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        PrimalGap                 6.07721e-08          6.07276e-08          6.06751e-08  6.07623e-08          6.07298e-08   5.9577e-08         -2.11102e-06          6.05395e-08          6.12245e-08          inf                                     6.23687e-08   6.4059e-08 -2.24716e-06                                     6.12889e-08                                     6.04659e-08  6.04971e-08  6.07721e-08          6.53502e-08                    inf                  inf          inf          inf                  inf                  inf
                        DualGap                   9.93933e-06         -6.07276e-08         -6.06751e-08  9.93934e-06         -6.07298e-08  -5.9577e-08          2.11102e-06         -6.05395e-08         -6.12245e-08 -6.07716e-08                                    -6.29912e-08  -6.4059e-08  2.24716e-06                                    -6.12889e-08                                    -6.04659e-08   9.9396e-06 -6.08715e-08         -6.53502e-08                    inf                  inf          inf          inf                  inf                  inf
Syn05M04                TerminationStatus                   0                    0                    0            0                    0            0                    0                    0                    0            1                                               0            0            0                                               0                                               0            0            0                    0                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        PrimalBound                   5510.39              5510.39              5510.39      5510.39              5510.39      5510.39               5510.4              5510.39              5510.39         -inf                                         5510.39      5510.39       5510.4                                         5510.39                                         5510.39      5510.39      5510.39              5510.39                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        DualBound                     5510.44              5510.39              5510.39      5510.44              5510.39      5510.39               5510.4              5510.39              5510.39      5510.39                                         5510.39      5510.39       5510.4                                         5510.39                                         5510.39      5510.44      5510.38              5510.39                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        SolverTime                       0.09                  0.9                7.415         0.14                0.892         0.25                0.244                2.029                0.827      3600.54                                            0.06        0.124        0.188                                           0.545                                           0.112         0.15        0.081                1.302                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        ETSolver                        0.129                0.912                7.424        0.176                0.904        0.282                0.274                2.039                0.837      3600.77                                       0.0729999        0.157        0.221                                           0.555                                           0.122        0.192        0.092                1.312                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfIterations                  0                    0                    0            0                    0          299                  332                    0                 1127          NaN                                               0          129          196                                               0                                             125            0            0                    0                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfDomainViolations            0                    0                    0            0                    0          NaN                  NaN                    0                    0            0                                               0          NaN          NaN                                               0                                               0            0            0                    0                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfNodes                       1                  105                  167            1                   75           11                    7                   70                   87       785490                                               3            3            3                                               6                                               6            1            3                   19                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        Fail                            False                False                False        False                False        False                False                False                False        False                                           False        False        False                                           False                                           False        False        False                False                   True                 True         True         True                 True                 True
                        FailReason                                                                                                                                                                                                                                                                                                                                                                                                                                        No data.             No data.     No data.     No data.             No data.             No data.
                        Gap                       1.00001e-05                    0                    0  1.00001e-05                    0            0                    0                    0                    0          inf                                     -2.3258e-11            0            0                                               0                                               0  1.00001e-05 -8.82468e-07          1.40064e-08                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        PrimalGap                -6.25691e-08         -6.26127e-08         -6.26401e-08 -6.25691e-08         -6.26121e-08 -6.42991e-08         -2.18744e-06         -9.22917e-08          -6.2171e-08          inf                                    -6.25972e-08  -6.4234e-08 -2.21944e-06                                    -6.20234e-08                                    -6.26697e-08   -6.259e-08 -6.27595e-08          -4.8914e-08                    inf                  inf          inf          inf                  inf                  inf
                        DualGap                   1.00627e-05          6.26127e-08          6.26401e-08  1.00627e-05          6.26121e-08  6.42991e-08          2.18744e-06          9.22917e-08           6.2171e-08  6.25727e-08                                     6.25739e-08   6.4234e-08  2.21944e-06                                     6.20234e-08                                     6.26697e-08  1.00627e-05 -8.19709e-07          6.29203e-08                    inf                  inf          inf          inf                  inf                  inf
Syn10M02                TerminationStatus                   0                    0                    0            0                    0            0                    0                    0                    0            3                                               0            0            0                                               0                                               0            0            0                    0                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        PrimalBound                    2310.3               2310.3               2310.3       2310.3               2310.3       2310.3              2310.31               2310.3               2310.3      2171.03                                          2310.3       2310.3      2310.31                                          2310.3                                          2310.3       2310.3       2310.3               2310.3                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        DualBound                     2310.32               2310.3               2310.3      2310.32               2310.3       2310.3              2310.31               2310.3               2310.3       2310.3                                          2310.3       2310.3      2310.31                                          2310.3                                          2310.3      2310.32       2310.3               2310.3                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        SolverTime                       0.11                 6.39               81.079         0.61                5.547        0.655                 0.35               53.362               27.751      2103.28                                            0.08         0.15         0.22                                           0.705                                           0.151         0.44        0.145                0.804                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        ETSolver                        0.144                6.402               81.089        0.646                5.558         0.69                0.382               53.373               27.762      2103.52                                       0.0930001        0.183        0.253                                           0.715                                           0.162        0.481        0.157                0.814                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfIterations                  0                    0                    0            0                    0         2565                  957                    0                36831            0                                               0          139          223                                               0                                             149            0            0                    0                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfDomainViolations            0                    0                    0            0                    0          NaN                  NaN                    0                    0            0                                               0          NaN          NaN                                               0                                               0            0            0                    0                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        NumberOfNodes                       1                 1217                 3237           17                  819          155                   97                 2074                 2571      1000000                                               5            3            3                                              11                                               7            3            9                   14                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        Fail                            False                False                False        False                False        False                False                False                False        False                                           False        False        False                                           False                                           False        False        False                False                   True                 True         True         True                 True                 True
                        FailReason                                                                                                                                                                                                                                                                                                                                                                                                                                        No data.             No data.     No data.     No data.             No data.             No data.
                        Gap                       1.00001e-05           3.7499e-10                    0  1.00001e-05                    0            0                    0                    0                    0    0.0641476                                     2.90247e-08            0            0                                               0                                               0  1.00001e-05 -1.51095e-06                    0                    NaN                  NaN          NaN          NaN                  NaN                  NaN
                        PrimalGap                  1.3377e-07          1.33612e-07         -9.58676e-08  1.33763e-07          1.33613e-07  1.30873e-07         -2.45638e-06          1.33213e-07          1.30784e-07    0.0641478                                      1.6521e-07  1.27253e-07 -2.94495e-06                                     1.36056e-07                                     1.29605e-07   1.3354e-07  1.38432e-07          1.31206e-07                    inf                  inf          inf          inf                  inf                  inf
                        DualGap                   9.86633e-06         -1.33237e-07          9.58676e-08  9.86633e-06         -1.33613e-07 -1.30873e-07          2.45638e-06         -1.33213e-07         -1.30784e-07 -1.33749e-07                                    -1.36185e-07 -1.27253e-07  2.94495e-06                                    -1.36056e-07                                    -1.29605e-07  9.86656e-06 -1.64938e-06         -1.31206e-07                    inf                  inf          inf          inf                  inf                  inf
